Fecha,almuerzos,ARIMA_SEMANAL,ARIMA_MENSUAL,ARIMA_TRIMESTRAL
2024-01-01,1.0,11.461794997013115,11.979222682949244,13.397762543078082
2024-01-02,11.0,12.282354082083222,16.783506030098224,12.694528875807716
2024-01-03,14.0,9.806906034082452,12.42248027687,11.61094696616917
2024-01-04,4.0,8.492540484916445,16.680147181576263,15.984235781396972
2024-01-05,23.0,9.3819764408773,14.545502496647144,18.6811053794355
2024-01-06,28.0,11.19817404865743,14.012446227335996,11.83195434831002
2024-01-07,18.0,7.807333165780804,13.802240128207112,14.921784771777865
2024-01-08,11.0,4.467350369894903,17.937755601303685,15.1540663882706
2024-01-09,12.0,5.457460328349781,23.219431080262492,19.489960410737734
2024-01-10,16.0,5.412083317856467,14.311212825036211,14.481794441752939
2024-01-11,6.0,1.723889553040575,12.304814171199972,17.245567419657235
2024-01-12,12.0,3.4902482184826145,15.983431551166909,15.997505642943601
2024-01-13,23.0,5.439837283858141,16.066868829608552,14.713608011376017
2024-01-14,13.0,1.3865173959017492,17.465190422362927,14.386924418360596
2024-01-15,9.0,-1.4714648105190307,9.984858249883729,16.10870697085688
2024-01-16,1.0,-0.6946091037607482,17.94382433644709,15.793431109338833
2024-01-17,1.0,-0.9143558047082756,13.546908175312462,13.670845994256423
2024-01-18,4.0,-4.439871459434818,9.505622246337762,13.687058955294454
2024-01-19,17.0,-2.863777382584754,14.943895069546187,24.194894123034985
2024-01-20,9.0,-1.004545200205487,13.108563898593095,14.384118898051295
2024-01-21,10.0,-5.014182522353049,15.149707144715554,11.410700986566622
2024-01-22,12.0,-7.9225347665696795,20.299844764987576,16.820969799129067
2024-01-23,15.0,-7.207857945018574,14.779268541339768,16.762060179450543
2024-01-24,9.0,-7.485866356901167,10.14971007831122,11.403107835139117
2024-01-25,6.0,-11.02298388591267,18.54680909550094,13.005150423606501
2024-01-26,20.0,-9.531904834352636,18.464488817658648,19.19681801257364
2024-01-27,32.0,-7.772966218760868,13.10855000857185,16.415450096640217
2024-01-28,19.0,-11.777122253181929,18.505648932331134,14.784850272560238
2024-01-29,12.0,-14.695680875195293,18.614624922666714,11.045096240151217
2024-01-30,5.0,-14.059986680320648,15.02622918998793,14.777237706244932
2024-01-31,9.0,-14.397469698931838,15.413367054088447,13.359420031155762
2024-02-01,15.0,-17.935524419193857,17.716635553315434,21.513207306900945
2024-02-02,20.0,-16.536337095901175,13.543552658758552,13.993782981207673
2024-02-03,15.0,-14.873222866981287,22.352305209818923,14.529426806945722
2024-02-04,11.0,-18.870470176979527,19.767173670250052,12.0127806323147
2024-02-05,10.0,-21.801690032878057,15.34697422365915,16.446734839671052
2024-02-06,11.0,-21.24189934418725,18.89025876938251,9.351847592317487
2024-02-07,11.0,-21.638062589191616,21.914067137526168,17.383081553708877
2024-02-08,10.0,-25.17757875328846,22.88446621077393,20.32135346467838
2024-02-09,2.0,-23.868025684994663,12.887307764038436,16.683194884073586
2024-02-10,14.0,-22.29932552803777,17.651782924444685,12.560847666744568
2024-02-11,9.0,-26.28980359078198,18.894804660452305,15.494281495707797
2024-02-12,9.0,-29.233301957170475,17.89364571148082,13.360357830515714
